"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"393","F183",0,NA,"Female","1972","no"
"394","F184",0,"F149","Male","1996","no"
"395","F185",0,NA,"Female",NA,"no"
"396","F186",0,"F157","Male","1996","no"
"397","F187",0,"F101","Female","2003","no"
"398","F188",1,"FB33","Male","1996","no"
"399","F189",0,NA,"Female",NA,"no"
"400","F190",1,"F181","Male","1996","no"
"401","F191",0,NA,"Female",NA,"no"
"402","F192",1,NA,"Male","1967","no"
"403","F193",1,NA,"Female","1984","no"
"404","F194",1,NA,"Male","1974","no"
"405","F195",0,NA,"Female","1969","no"
"406","F196",1,"F101","Male","1998","no"
"407","F197",1,"F155","Female","2003","no"
"408","F198",1,"FB25","Male","1996","no"
"409","F199",1,"WAND","Female","2002","no"
"410","F200",0,NA,"Male",NA,"no"
"411","F201",1,"F193","Female","2005","no"
"412","F202",1,NA,"Male","1981","no"
"413","F203",1,"F149","Female","2000","no"
"414","F205",1,"F155","Female","2006","no"
"415","F207",1,"F175","Female","2005","no"
"416","F209",1,"FB55","Female","2004","no"
"417","F210",0,NA,"Female",NA,"no"
"418","F211",1,"F127","Female","2005","no"
"419","F212",0,"FB03","Male","1999","no"
"420","F213",0,"FB55","Female","2007","no"
"421","F214",0,"FB09","Male","1999","no"
"422","F215",0,"FB99","Female","2000","no"
"423","F216",0,"F163","Male","1998","no"
"424","F217",0,"F141","Female","2007","no"
"425","F218",1,"FB55","Male","1999","no"
"426","F219",1,"49LA","Female","1995","no"
"427","F220",1,"FB07","Male","1999","no"
"428","F221",1,"FB25","Female","2009","no"
"429","F222",1,"F131","Male","1999","no"
"430","F223",0,"F225","Female","2001","no"
"431","F224",1,"FB27","Male","2002","no"
"432","F225",0,NA,"Female",NA,"no"
"433","F226",0,"F175","Male","2002","no"
"434","F227",1,"FB09","Female","2005","no"
"435","F228",1,"FB65","Male","1999","no"
"436","F229",0,"FB54","Female","2008","no"
"437","F230",0,"F181","Male","2002","no"
"438","F231",0,NA,"Female","1984","no"
"439","F232",1,"FB75","Male","2002","no"
