"","Date","Year","Code","StartLon","StartLat","DiffHI","HAB_time"
"89065","2013-11-11",2013,"TNBP",-82.659,27.40508,"FG",2
"89067","2013-11-11",2013,"F232",-82.69715,27.45135,"SD",2
"89068","2013-11-11",2013,"F232",-82.69715,27.45135,"SD",2
"89112","2013-11-11",2013,"F243",-82.69299,27.46629,"FG",2
"89411","2013-12-02",2013,"F173",-82.66263,27.43884,"FG",2
"90024","2014-02-03",2014,"1494",-82.64149,27.54513,"SD",2
"90025","2014-02-03",2014,"1496",-82.64149,27.54513,"SD",2
"90026","2014-02-03",2014,"B053",-82.64149,27.54513,"SD",2
"90027","2014-02-03",2014,"B531",-82.64149,27.54513,"SD",2
"90028","2014-02-03",2014,"DAB2",-82.64149,27.54513,"SD",2
"90029","2014-02-03",2014,"DABL",-82.64149,27.54513,"SD",2
"90030","2014-02-03",2014,"F149",-82.64149,27.54513,"SD",2
"90493","2014-03-10",2014,"F133",-82.68826,27.43165,"SD",2
"90495","2014-03-10",2014,"F232",-82.68826,27.43165,"SD",2
"90743","2014-04-02",2014,"C834",-82.60819,27.4213,"SD",2
"90744","2014-04-02",2014,"F142",-82.60819,27.4213,"SD",2
"90795","2014-04-02",2014,"F149",-82.64132,27.54506,"SD",2
"90796","2014-04-02",2014,"ULY2",-82.64132,27.54506,"SD",2
"90969","2014-04-14",2014,"C935",-82.54413,27.30545,"FG",2
"91073","2014-05-06",2014,"F276",-82.69111,27.44304,"SD",2
"91189","2014-05-10",2014,"1651",-82.64414,27.41372,"SD",2
"91190","2014-05-10",2014,"C655",-82.64414,27.41372,"SD",2
"91191","2014-05-10",2014,"F165",-82.64414,27.41372,"SD",2
"91192","2014-05-10",2014,"FB65",-82.64414,27.41372,"SD",2
"91193","2014-05-10",2014,"1651",-82.64414,27.41372,"SD",2
"91215","2014-05-12",2014,"1092",-82.69262,27.47623,"FG",2
"91367","2014-05-21",2014,"1316",-82.5535,27.34774,"FG",2
"91370","2014-05-21",2014,"1253",-82.62409,27.41681,"SD",2
"91371","2014-05-21",2014,"F125",-82.62409,27.41681,"SD",2
"91372","2014-05-21",2014,"F164",-82.62409,27.41681,"SD",2
"91373","2014-05-21",2014,"F242",-82.62409,27.41681,"SD",2
"91377","2014-05-21",2014,"F242",-82.62409,27.41681,"SD",2
"93156","2014-08-30",2014,"1753",-82.57101,27.29701,"FG",2
"93160","2014-08-30",2014,"F247",-82.57101,27.29701,"FG",2
"93267","2014-09-03",2014,"1556",-82.69478,27.47679,"FG",2
"93605","2014-10-02",2014,"C834",-82.68008,27.42363,"SD",2
"93606","2014-10-02",2014,"F109",-82.68008,27.42363,"SD",2
"93609","2014-10-02",2014,"F276",-82.68008,27.42363,"SD",2
"93613","2014-10-02",2014,"C834",-82.68008,27.42363,"SD",2
"93920","2014-10-09",2014,"C798",-82.58551,27.33015,"SD",2
"93921","2014-10-09",2014,"FB79",-82.58551,27.33015,"SD",2
"94024","2014-10-20",2014,"1231",-82.69112,27.46885,"FG",2
"94156","2014-11-06",2014,"F284",-82.71275,27.49211,"FG",2
"94282","2014-11-13",2014,"F246",-82.64754,27.43357,"FG",2
"94284","2014-11-13",2014,"F197",-82.67641,27.44894,"FG",2
"94352","2014-11-13",2014,"1494",-82.68639,27.52995,"SD",2
"94353","2014-11-13",2014,"C656",-82.68639,27.52995,"SD",2
"94354","2014-11-13",2014,"FB65",-82.68639,27.52995,"SD",2
"94355","2014-11-13",2014,"HWK3",-82.68639,27.52995,"SD",2
"94358","2014-11-13",2014,"FB65",-82.68639,27.52995,"SD",2
