id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
ESK,no,NA,NA,no
ESP,no,NA,NA,yes
ESS,no,NA,NA,no
EST,no,NA,NA,no
ETH,no,NA,NA,no
EUR,no,NA,NA,yes
EVE,yes,yes,30,no
EWE,no,NA,NA,no
EXP,yes,no,73,yes
FAB,no,NA,NA,yes
FAC,no,NA,NA,no
FAJ,yes,no,33,no
FAL,no,NA,NA,yes
FAV,no,NA,NA,no
FEL,no,NA,NA,no
FGL,no,NA,NA,no
FID,no,NA,NA,no
FIO,no,NA,NA,yes
FKS,no,NA,NA,yes
FKY,no,NA,NA,no
FLA,no,NA,NA,no
FLE,no,NA,NA,yes
FLI,no,NA,NA,no
FLM,no,NA,NA,no
FLO,no,NA,NA,no
FLP,no,NA,NA,no
FLX,no,NA,NA,no
FNA,no,NA,NA,yes
FOG,no,NA,NA,no
FOL,no,NA,NA,yes
FOO,no,NA,NA,no
FOR,no,NA,NA,no
FOS,no,NA,NA,yes
FRA,yes,no,22,no
FRD,no,NA,NA,no
FRE,no,NA,NA,yes
FRF,no,NA,NA,yes
FRI,no,NA,NA,no
FRK,no,NA,NA,no
FRN,no,NA,NA,no
FRO,no,NA,NA,no
FRU,no,NA,NA,yes
FRY,no,NA,NA,no
FRZ,no,NA,NA,no
FUL,no,NA,NA,no
FUN,no,NA,NA,no
FUS,no,NA,NA,no
FZZ,no,NA,NA,no
GAL,no,NA,NA,no
GAR,no,NA,NA,no
GEG,no,NA,NA,no
GEN,no,NA,NA,no
GER,no,NA,NA,yes
GHA,no,NA,NA,no
GHO,no,NA,NA,no
GIA,no,NA,NA,no
GIB,no,NA,NA,no
GIF,no,NA,NA,no
GIN,yes,yes,15,no
GIR,no,NA,NA,no
GIS,no,NA,NA,no
GLE,no,NA,NA,no
GMP,no,NA,NA,no
GNA,no,NA,NA,no
GNL,no,NA,NA,no
GNT,no,NA,NA,no
GOB,no,NA,NA,yes
GOL,no,NA,NA,no
GOM,no,NA,NA,no
GON,no,NA,NA,yes
GOR,no,NA,NA,no
GOY,no,NA,NA,yes
GPA,no,NA,NA,yes
GRA,no,NA,NA,yes
GRE,no,NA,NA,no
GRI,no,NA,NA,no
GRO,no,NA,NA,no
