IndividualsFID,Alias,Sex,BirthYear,DeathYear,Mom,FirstSighted,FirstSighted_Begin1993,LastSighted_End2014,HI_Indiv,Year_Confirmed,First_HI_Type,HI_Injury,Year_of_Injury,Injury_Type
2127,C391,NA,1994,NA,FB39,24-May-94,24-May-94,07-Nov-96,0,NA,NA,0,NA,NA
3724,C546,NA,2004,2004,FB54,11-May-04,11-May-04,01-Oct-04,0,NA,NA,0,NA,NA
4844,C548,Female,2012,NA,FB54,13-Jun-12,13-Jun-12,04-Dec-14,0,NA,NA,0,NA,NA
4094,C554,NA,2010,2011,FB55,08-Jun-10,08-Jun-10,11-Jul-11,0,NA,NA,0,NA,NA
4845,C555,Male,2012,NA,FB55,05-Sep-12,05-Sep-12,11-Dec-14,0,NA,NA,0,NA,NA
2301,C574,NA,1996,1996,FB57,13-Jun-96,13-Jun-96,30-Jul-96,0,NA,NA,0,NA,NA
2129,C595,NA,1994,NA,FB59,28-Jun-94,28-Jun-94,13-Nov-96,0,NA,NA,0,NA,NA
2968,C596,Probable Male,1998,NA,FB59,01-Sep-98,01-Sep-98,14-Jun-10,1,2007,"A, E",0,NA,NA
3346,C597,NA,2002,2002,FB59,28-May-02,28-May-02,30-Jul-02,0,NA,NA,0,NA,NA
2125,C652,NA,1994,NA,FB65,20-Apr-94,20-Apr-94,20-May-98,1,1996,A,0,NA,NA
4848,C655,Female,2011,NA,FB65,19-Aug-11,19-Aug-11,06-Nov-14,1,2013,A,0,NA,NA
5495,C656,NA,2014,NA,FB65,21-May-14,21-May-14,13-Nov-14,1,2014,A,0,NA,NA
2285,C717,Male,1996,1996,FB71,09-May-96,09-May-96,24-Jun-96,0,NA,NA,0,NA,NA
2128,C754,Female,1994,1994,FB75,13-Jun-94,13-Jun-94,21-Oct-94,0,NA,NA,1,1994,ingestion
2303,C755,NA,1996,1996,FB75,14-Jun-96,14-Jun-96,14-Jun-96,0,NA,NA,0,NA,NA
1928,C791,NA,1993,1994,FB79,01-Jun-93,01-Jun-93,22-Mar-94,0,NA,NA,0,NA,NA
2992,C793,NA,1999,1999,FB79,10-Jun-99,10-Jun-99,16-Sep-99,0,NA,NA,0,NA,NA
3147,C794,NA,2001,2001,FB79,23-Apr-01,23-Apr-01,07-Aug-01,1,2001,A,0,NA,NA
3729,C795,NA,2004,2005?,FB79,21-May-04,21-May-04,21-Oct-05,1,2005,A,0,NA,NA
4095,C797,Male,2010,2011,FB79,11-Jun-10,11-Jun-10,17-Jun-11,1,2011,A,1,2011,entanglement
4869,C798,Female,2012,NA,FB79,13-Jun-12,13-Jun-12,02-Dec-14,1,2014,A,1,<2014,entanglement
1744,C834,Male,1992,NA,FB83,19-Jun-92,22-Mar-93,01-Dec-14,1,2011,A,0,NA,NA
2970,C835,Male,1998,NA,FB83,12-Nov-98,12-Nov-98,29-Nov-14,1,2010,A,0,NA,NA
2551,C871,NA,1996,NA,FB87,17-Oct-96,17-Oct-96,15-Nov-02,0,NA,NA,0,NA,NA
3830,C872,Male,2005,2006,FB87,11-Oct-05,11-Oct-05,29-Jun-06,0,NA,NA,0,NA,NA
3976,C873,NA,2007,2007,FB87,07-Aug-07,07-Aug-07,07-Aug-07,0,NA,NA,0,NA,NA
4077,C874,NA,2010,NA,FB87,26-May-10,26-May-10,13-Nov-14,0,NA,NA,0,NA,NA
3962,C911,NA,2007,NA,C991,19-Jun-07,19-Jun-07,13-Nov-14,1,2009,P,0,NA,NA
4873,C912,NA,2011,NA,C991,06-Jun-11,06-Jun-11,11-Dec-14,0,NA,NA,0,NA,NA
2867,C931,Male,1998,1998,FB93,11-Jun-98,11-Jun-98,23-Sep-98,0,NA,NA,1,1998,entanglement
3027,C932,NA,2000,NA,FB93,06-Jun-00,06-Jun-00,22-Jul-04,0,NA,NA,0,NA,NA
3742,C933,Female,2004,NA,FB93,21-Jun-04,21-Jun-04,06-Dec-06,0,NA,NA,0,NA,NA
4061,C935,Male,2009,NA,FB93,24-Sep-09,24-Sep-09,26-Dec-14,1,2011,A,0,NA,NA
4843,C936,Female,2012,2012,FB93,12-Jun-12,12-Jun-12,22-Dec-12,0,NA,NA,0,NA,NA
2131,C991,Female,1994,NA,FB99,14-Jul-94,14-Jul-94,11-Dec-14,1,2009,P,0,NA,NA
2789,CAES,NA,NA,NA,NA,19-Feb-98,19-Feb-98,08-Aug-07,0,NA,NA,0,NA,NA
4942,CAM1,Probable Female,NA,NA,CAMB,04-Feb-13,04-Feb-13,04-Jun-14,0,NA,NA,0,NA,NA
2220,CATW,Probable Female,NA,NA,NA,21-Mar-95,21-Mar-95,22-May-13,0,NA,NA,0,NA,NA
5132,CBTA,NA,NA,NA,NA,15-Dec-11,15-Dec-11,15-Dec-11,0,NA,NA,0,NA,NA
