"","Mom","Alias","BirthYear","Depart"
"703",NA,"LITT",1985,1991
"705","LIZD","LIZ1",2008,2014
"706","SHTC","LIZD",1985,1991
"707",NA,"LLLN",1985,1991
"708",NA,"LNBT",1985,1991
"709","LNPC","LNC2",2011,2017
"710","LNPC","LNC3",2014,2020
"711","LNPC","LNCC",2006,2012
"712","LNLD","LNL1",2011,2017
"713",NA,"LNLD",1985,1991
"714","LNPF","LNPC",1985,1991
"715",NA,"LNPF",1985,1991
"716",NA,"LNST",1985,1991
"717",NA,"LOBE",1985,1991
"718",NA,"LONE",1985,1991
"719","LOTB","LOT1",2000,2006
"720","LOTB","LOT2",2005,2011
"721","LOTB","LOT3",1985,1991
"722","LOTB","LOT4",1985,1991
"723",NA,"LOTB",1985,1991
"724",NA,"LRBD",1985,1991
"726",NA,"LSPL",1985,1991
"727",NA,"LSPO",1985,1991
"728",NA,"LTET",1985,1991
"729","LTSM","LTS2",1985,1991
"730",NA,"LTSM",1985,1991
"732",NA,"LWHP",1985,1991
"733",NA,"LWMN",1985,1991
"734","LWPT","LWP1",2004,2010
"735","LWPT","LWP2",2008,2014
"736",NA,"LWPT",1985,1991
"737",NA,"LYFN",1985,1991
"738",NA,"LYLU",1985,1991
"739",NA,"M145",1985,1991
"740",NA,"M164",1985,1991
"741","MANT","MAN1",1985,1991
"742","MANT","MAN2",1985,1991
"743","MANT","MAN3",1985,1991
"744",NA,"MANT",1985,1991
"745",NA,"MARX",1985,1991
"746",NA,"MAUD",1985,1991
"747",NA,"MBAB",1985,1991
"749","MCMA","MCM2",1994,2000
"750","MCMA","MCM3",1999,2005
"751",NA,"MCMA",1985,1991
"752",NA,"MDLB",1985,1991
"753",NA,"MDNK",1985,1991
"754",NA,"MDPK",1985,1991
"755",NA,"MDSQ",1985,1991
"756",NA,"MEAD",1985,1991
"757",NA,"MHBT",1985,1991
"758",NA,"MIDF",1985,1991
"759",NA,"MIDM",1985,1991
"760","MJMA","MJM2",1998,2004
"761",NA,"MLOB",1985,1991
"762","MLOB","MLOC",1985,1991
"763",NA,"MLTS",1985,1991
"764",NA,"MLVN",1985,1991
"765",NA,"MM62",1985,1991
"767",NA,"MM72",1985,1991
"768","MNCB","MNC2",1985,1991
"769",NA,"MNCB",1985,1991
"770","MNIK","MNIC",1998,2004
"771",NA,"MNIK",1985,1991
"772",NA,"MOCH",1985,1991
"773",NA,"MOLA",1985,1991
"774",NA,"MOML",1985,1991
"775",NA,"MOOY",1985,1991
"776",NA,"MORB",1985,1991
"778",NA,"MORN",1985,1991
"779",NA,"MPTB",1985,1991
"780",NA,"MRMS",1985,1991
"781","MORN","MRN2",1985,1991
"782",NA,"MSLB",1985,1991
"783",NA,"MSQ2",1985,1991
"784",NA,"MSQL",1985,1991
"785",NA,"MSR2",1985,1991
"786","MSUM","MSUC",1991,1997
"787",NA,"MSUM",1985,1991
"788","MTBG","MTB1",1985,1991
"789",NA,"MTBG",1985,1991
"790",NA,"MTEL",1985,1991
"791",NA,"MTHR",1985,1991
"792",NA,"MTLR",1985,1991
"793",NA,"MTMN",1985,1991
"794",NA,"MTSS",1985,1991
"795",NA,"MTWO",1985,1991
"796",NA,"MUBT",1985,1991
"797",NA,"MVON",1985,1991
"798",NA,"MYST",1985,1991
"799",NA,"NACK",1985,1991
"800",NA,"NADW",1985,1991
"801","PNTB","NANA",2014,2020
"802",NA,"NHNK",1985,1991
"803",NA,"NIB2",1985,1991
"804",NA,"NIGT",1985,1991
"805",NA,"NIK2",1985,1991
"806","NIPN","NIP2",1985,1991
"807",NA,"NIPP",1985,1991
"808",NA,"NKAL",1985,1991
"809","NKLN","NKL2",1985,1991
"810",NA,"NKLD",1985,1991
"811",NA,"NKLN",1985,1991
"813",NA,"NKNN",1985,1991
"814","NKSH","NKS1",1985,1991
"815",NA,"NKSH",1985,1991
"816",NA,"NLPS",1985,1991
"817",NA,"NOMS",1985,1991
"818","NPKR","NPK1",2007,2013
"819","NPK1","NPKR",1985,1991
"820",NA,"OIEA",1985,1991
"821",NA,"OINK",1985,1991
"822",NA,"OPAL",1985,1991
"823",NA,"OPTP",1985,1991
"824",NA,"ORNG",1985,1991
"825",NA,"OTH_1083",1985,1991
"826",NA,"OTH_183",1985,1991
"827",NA,"OTH_230",1985,1991
"829",NA,"OTH_295",1985,1991
"830",NA,"OTH_376",1985,1991
"831",NA,"OTH_378",1985,1991
"833",NA,"OTH_441",1985,1991
"834",NA,"OTH_456",1985,1991
"835",NA,"OTH_487",1985,1991
"836",NA,"OTH_503",1985,1991
"837",NA,"OTH_506",1985,1991
"838",NA,"OTH_519",1985,1991
"839",NA,"OTH_561",1985,1991
"840",NA,"OTH_590",1985,1991
"841",NA,"OTH_591",1985,1991
"842",NA,"OTH_597",1985,1991
"843",NA,"OTH_601",1985,1991
"844",NA,"OTH_602",1985,1991
