"","trial","id","t_weight"
"214",1,"CL-5063",0
"215",1,"CL-5091",0
"216",1,"CL-5178",0
"217",1,"CL-5192",0
"218",1,"CL-5224",0
"219",1,"CL-5225",0
"220",1,"CL-5464",0
"221",1,"CL-5469",0
"222",1,"CL-5471",0
"223",1,"CL-5472",0
"224",1,"CL-5473",0
"225",1,"CL-5474",0
"226",1,"CLA2",0
"227",1,"CLAT",0
"228",1,"CLIF",0
"229",1,"CLJP",0
"230",1,"CLUE",0
"231",1,"CMRS",0
"232",1,"CONS",0
"233",1,"COST",0
"234",1,"CRAG",0
"235",1,"CRKS",0
"236",1,"CRUM",0
"237",1,"CSH3",0
"238",1,"CSPD",0
"239",1,"CTS3",0
"240",1,"CTS4",0
"241",1,"CTS5",0
"242",1,"CTW1",0
"243",1,"CTW2",0
"244",1,"CW32",0
"245",1,"CW3C",0
"246",1,"CWM3",0
"247",1,"DAB1",0
"248",1,"DAB2",1
"249",1,"DABL",1
"250",1,"DAD2",0
"251",1,"DADA",0
"252",1,"DAF1",0
"253",1,"DAF2",0
"254",1,"DAFT",0
"255",1,"DAIN",0
"256",1,"DBHN",0
"257",1,"DEDO",0
"258",1,"DIGT",0
"259",1,"DIL1",0
"260",1,"DILL",0
"261",1,"DIPT",0
"262",1,"DMDI",0
"263",1,"DRAC",0
"264",1,"DRAY",0
"265",1,"DRBY",0
"266",1,"DRM1",0
"267",1,"DRMS",0
"268",1,"DRSN",1.5
"269",1,"DTHB",0
"270",1,"DUDE",0
"271",1,"EAS1",0
"272",1,"EASY",0
"273",1,"EFHT",0
"274",1,"ELFF",1
"275",1,"ELIP",0
"276",1,"EQDT",0
"277",1,"ETMA",0
"278",1,"F100",0
"279",1,"F101",0
"280",1,"F102",0
"281",1,"F105",0
"282",1,"F106",24
"283",1,"F108",2.5
"284",1,"F109",2.66666666666667
"285",1,"F110",0
"286",1,"F111",0
"287",1,"F113",0
"288",1,"F114",0
"289",1,"F115",0
"290",1,"F117",0
"291",1,"F118",1
"292",1,"F119",0
"293",1,"F120",0
"294",1,"F123",0
"295",1,"F125",1
"296",1,"F126",0
"297",1,"F127",0
"298",1,"F128",1
"299",1,"F130",0
"300",1,"F131",0
"301",1,"F132",0
"302",1,"F133",1
"303",1,"F134",0
"304",1,"F135",0
"305",1,"F136",0
"306",1,"F137",1
"307",1,"F138",0
"308",1,"F139",0
"309",1,"F141",0
"310",1,"F142",1.25
"311",1,"F144",0
"312",1,"F146",1
"313",1,"F147",0
"314",1,"F148",1.5
"315",1,"F149",2
"316",1,"F151",0
"317",1,"F152",0
"318",1,"F153",1
"319",1,"F154",0
"320",1,"F155",2
"321",1,"F157",0
"322",1,"F158",0
"323",1,"F159",0
"324",1,"F160",0
"325",1,"F161",0
"326",1,"F162",1
"327",1,"F163",0
"328",1,"F164",1
"329",1,"F165",1.5
"330",1,"F166",0
"331",1,"F167",0
"332",1,"F169",0
"333",1,"F171",1
"334",1,"F172",0
"335",1,"F173",1
"336",1,"F174",0
"337",1,"F175",1
"338",1,"F176",1
"339",1,"F177",0
"340",1,"F178",0
"341",1,"F179",1
"342",1,"F180",0
"343",1,"F181",0
"344",1,"F182",0
"345",1,"F183",0
"346",1,"F184",0
"347",1,"F185",0
"348",1,"F186",0
"349",1,"F187",0
"350",1,"F188",2
"351",1,"F189",0
"352",1,"F190",1.5
"353",1,"F191",0
"354",1,"F192",0
"355",1,"F193",1
"356",1,"F194",1
"357",1,"F195",0
"358",1,"F196",1
"359",1,"F197",0
"360",1,"F198",1.5
